9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
,Mestrado,40h,2,Campus Pirapora,Doutorado,20h,(Em branco),Campus Pirapora,Doutorado,20h,(Em branco),Campus Pirapora,Doutorado,20h,(Em branco),,Especialização,DE,7
,Aperfeiçoamento,DE,1,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Graduação,DE,(Em branco)
,Doutorado,DE,3,,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Mestrado,DE,31
,Especialização,DE,19,,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),Campus Salinas,Doutorado,20h,(Em branco)
,Graduação,DE,2,,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Especialização,20h,(Em branco)
,Mestrado,DE,34,,Especialização,40h,2,,Especialização,40h,2,,Especialização,40h,1,,Graduação,20h,(Em branco)
Campus Salinas,Doutorado,20h,(Em branco),,Graduação,40h,11,,Graduação,40h,7,,Graduação,40h,3,,Mestrado,20h,(Em branco)
,Especialização,20h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,3,,Doutorado,40h,6
,Graduação,20h,(Em branco),,Doutorado,DE,6,,Doutorado,DE,10,,Doutorado,DE,15,,Especialização,40h,1
,Mestrado,20h,(Em branco),,Especialização,DE,14,,Especialização,DE,13,,Especialização,DE,11,,Graduação,40h,3
,Doutorado,40h,2,,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Mestrado,40h,6
,Especialização,40h,3,,Mestrado,DE,35,,Mestrado,DE,31,,Mestrado,DE,31,,Doutorado,DE,56
,Graduação,40h,2,Campus Salinas,Doutorado,20h,(Em branco),Campus Salinas,Doutorado,20h,(Em branco),Campus Salinas,Doutorado,20h,1,,Especialização,DE,2
,Mestrado,40h,7,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Graduação,DE,(Em branco)
,Doutorado,DE,43,,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,1,,Mestrado,DE,55
,Especialização,DE,5,,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),Campus Teófilo Otoni,Doutorado,20h,(Em branco)
,Graduação,DE,2,,Doutorado,40h,(Em branco),,Doutorado,40h,1,,Doutorado,40h,3,,Especialização,20h,(Em branco)
